,order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,avg_shoe_price,business_type
4534,4535,32,765,101,1,debit,2017-03-24 20:14:08.040,101.0,general
1210,1211,100,765,111,1,debit,2017-03-30 08:31:13.122,111.0,general
3981,3982,100,818,111,1,cash,2017-03-23 21:34:26.767,111.0,general
4845,4846,100,857,111,1,cash,2017-03-26 17:01:34.858,111.0,general
482,483,100,947,111,1,debit,2017-03-21 11:23:11.139,111.0,general
83,84,100,817,111,1,cash,2017-03-12 22:10:47.292,111.0,general
1804,1805,100,794,111,1,debit,2017-03-27 10:16:50.885,111.0,general
3125,3126,100,959,111,1,cash,2017-03-07 23:18:13.015,111.0,general
146,147,100,899,111,1,debit,2017-03-05 16:49:00.048,111.0,general
1678,1679,100,985,111,1,debit,2017-03-10 04:15:42.296,111.0,general
4986,4987,100,731,111,1,cash,2017-03-30 07:01:59.086,111.0,general
846,847,100,745,111,1,credit_card,2017-03-12 03:46:07.694,111.0,general
13,14,100,709,111,1,cash,2017-03-22 02:39:49.275,111.0,general
364,365,100,784,111,1,debit,2017-03-02 03:36:38.084,111.0,general
4428,4429,100,997,111,1,debit,2017-03-22 01:27:09.784,111.0,general
4136,4137,100,888,111,1,credit_card,2017-03-04 18:45:19.581,111.0,general
2515,2516,100,899,111,1,debit,2017-03-30 15:17:37.477,111.0,general
870,871,53,967,112,1,debit,2017-03-04 11:13:18.063,112.0,general
1170,1171,53,888,112,1,debit,2017-03-13 11:28:29.054,112.0,general
3845,3846,7,755,112,1,credit_card,2017-03-17 00:49:23.227,112.0,general
716,717,53,815,112,1,credit_card,2017-03-29 13:58:15.688,112.0,general
2490,2491,53,954,112,1,debit,2017-03-04 07:48:13.640,112.0,general
615,616,7,710,112,1,cash,2017-03-03 07:33:01.460,112.0,general
27,28,53,942,112,1,credit_card,2017-03-17 09:41:53.044,112.0,general
3334,3335,53,748,112,1,cash,2017-03-13 12:50:32.010,112.0,general
65,66,7,988,112,1,debit,2017-03-29 10:22:33.931,112.0,general
4773,4774,7,864,112,1,cash,2017-03-12 19:29:52.552,112.0,general
190,191,7,805,112,1,credit_card,2017-03-22 05:28:42.365,112.0,general
1430,1431,7,830,112,1,debit,2017-03-25 16:08:49.068,112.0,general
4862,4863,53,917,112,1,debit,2017-03-10 10:07:02.642,112.0,general
3355,3356,53,914,112,1,cash,2017-03-22 13:19:05.006,112.0,general
2719,2720,53,797,112,1,cash,2017-03-22 23:35:07.012,112.0,general
4259,4260,7,746,112,1,credit_card,2017-03-11 01:52:12.419,112.0,general
3992,3993,7,970,112,1,credit_card,2017-03-12 09:44:05.340,112.0,general
3828,3829,7,746,112,1,credit_card,2017-03-28 08:08:32.725,112.0,general
3834,3835,7,986,112,1,debit,2017-03-18 03:51:07.657,112.0,general
2409,2410,53,706,112,1,debit,2017-03-11 13:44:37.918,112.0,general
1467,1468,7,745,112,1,cash,2017-03-14 02:32:31.650,112.0,general
2054,2055,53,733,112,1,cash,2017-03-29 05:54:36.647,112.0,general
3346,3347,7,759,112,1,debit,2017-03-08 08:15:28.593,112.0,general
1598,1599,53,889,112,1,credit_card,2017-03-14 19:55:37.610,112.0,general
1376,1377,53,778,112,1,debit,2017-03-14 12:39:43.506,112.0,general
987,988,7,986,112,1,debit,2017-03-08 06:16:28.511,112.0,general
695,696,7,876,112,1,debit,2017-03-09 06:49:31.499,112.0,general
1379,1380,53,913,112,1,credit_card,2017-03-19 02:56:47.128,112.0,general
4216,4217,53,909,112,1,cash,2017-03-18 19:11:36.037,112.0,general
1728,1729,7,845,112,1,debit,2017-03-11 01:35:55.229,112.0,general
1032,1033,7,782,112,1,debit,2017-03-08 05:10:10.047,112.0,general
298,299,53,928,112,1,credit_card,2017-03-12 19:19:39.459,112.0,general
1717,1718,7,825,112,1,credit_card,2017-03-17 13:29:41.649,112.0,general
4322,4323,53,855,112,1,cash,2017-03-10 07:39:50.657,112.0,general
4556,4557,7,825,112,1,cash,2017-03-28 04:12:42.978,112.0,general
2276,2277,53,902,112,1,debit,2017-03-26 09:23:31.387,112.0,general
4088,4089,53,722,112,1,debit,2017-03-27 11:10:06.996,112.0,general
2313,2314,7,839,112,1,debit,2017-03-20 00:55:52.239,112.0,general
727,728,7,775,112,1,debit,2017-03-08 11:03:55.962,112.0,general
1901,1902,53,901,112,1,cash,2017-03-04 21:50:21.048,112.0,general
3010,3011,53,785,112,1,cash,2017-03-11 22:42:38.729,112.0,general
3876,3877,7,791,112,1,credit_card,2017-03-07 08:04:39.022,112.0,general
1655,1656,53,966,112,1,cash,2017-03-12 20:19:26.796,112.0,general
2507,2508,53,984,112,1,cash,2017-03-07 08:36:30.209,112.0,general
1407,1408,7,915,112,1,credit_card,2017-03-16 23:00:02.037,112.0,general
3673,3674,7,718,112,1,cash,2017-03-09 03:13:26.235,112.0,general
3050,3051,53,707,112,1,credit_card,2017-03-07 10:01:45.629,112.0,general
2630,2631,53,940,112,1,credit_card,2017-03-30 23:12:13.085,112.0,general
1762,1763,93,825,114,1,credit_card,2017-03-06 18:28:09.742,114.0,general
4564,4565,93,803,114,1,credit_card,2017-03-05 20:55:15.709,114.0,general
3289,3290,93,874,114,1,debit,2017-03-24 13:31:23.353,114.0,general
3025,3026,93,812,114,1,cash,2017-03-28 13:49:05.257,114.0,general
739,740,93,993,114,1,debit,2017-03-23 04:13:12.415,114.0,general
884,885,93,710,114,1,credit_card,2017-03-12 09:14:27.978,114.0,general
1412,1413,93,818,114,1,cash,2017-03-10 10:30:04.738,114.0,general
1986,1987,93,826,114,1,debit,2017-03-10 00:01:05.847,114.0,general
3095,3096,93,780,114,1,cash,2017-03-29 15:37:17.694,114.0,general
479,480,93,724,114,1,credit_card,2017-03-04 01:46:54.005,114.0,general
2678,2679,93,758,114,1,credit_card,2017-03-20 13:29:17.081,114.0,general
243,244,93,861,114,1,credit_card,2017-03-03 05:19:17.278,114.0,general
3747,3748,93,982,114,1,cash,2017-03-02 18:45:19.776,114.0,general
2385,2386,93,933,114,1,credit_card,2017-03-06 03:28:25.555,114.0,general
1287,1288,93,959,114,1,cash,2017-03-07 02:17:45.980,114.0,general
4729,4730,93,985,114,1,cash,2017-03-13 13:44:02.452,114.0,general
2685,2686,93,859,114,1,cash,2017-03-10 01:05:30.530,114.0,general
2236,2237,93,741,114,1,credit_card,2017-03-01 18:59:40.304,114.0,general
4306,4307,93,915,114,1,credit_card,2017-03-27 07:49:00.512,114.0,general
2563,2564,93,927,114,1,credit_card,2017-03-23 09:19:08.172,114.0,general
4976,4977,93,763,114,1,credit_card,2017-03-20 17:14:50.795,114.0,general
2138,2139,93,894,114,1,credit_card,2017-03-06 05:07:47.779,114.0,general
570,571,93,936,114,1,cash,2017-03-17 08:33:40.931,114.0,general
4281,4282,93,928,114,1,credit_card,2017-03-09 16:51:58.372,114.0,general
1404,1405,93,998,114,1,credit_card,2017-03-17 16:52:52.338,114.0,general
2165,2166,93,785,114,1,debit,2017-03-30 11:02:05.156,114.0,general
4037,4038,93,804,114,1,debit,2017-03-27 16:01:57.047,114.0,general
2984,2985,14,706,116,1,debit,2017-03-14 22:29:19.051,116.0,general
1324,1325,14,838,116,1,cash,2017-03-13 08:08:58.781,116.0,general
1775,1776,14,711,116,1,debit,2017-03-18 22:52:37.419,116.0,general
3599,3600,14,785,116,1,debit,2017-03-27 00:42:21.774,116.0,general
1018,1019,14,880,116,1,debit,2017-03-07 13:44:27.213,116.0,general
510,511,14,923,116,1,debit,2017-03-21 10:41:36.844,116.0,general
73,74,14,968,116,1,cash,2017-03-22 00:14:48.008,116.0,general
2154,2155,14,875,116,1,cash,2017-03-03 12:58:42.115,116.0,general
1835,1836,14,742,116,1,cash,2017-03-04 09:29:47.847,116.0,general
526,527,14,844,116,1,cash,2017-03-08 21:57:16.076,116.0,general
4148,4149,14,928,116,1,debit,2017-03-03 17:23:40.454,116.0,general
2364,2365,14,840,116,1,cash,2017-03-02 15:51:09.350,116.0,general
2219,2220,14,871,116,1,credit_card,2017-03-28 08:41:36.357,116.0,general
2693,2694,14,939,116,1,cash,2017-03-23 22:45:01.500,116.0,general
1300,1301,14,743,116,1,debit,2017-03-22 19:05:35.058,116.0,general
1584,1585,14,759,116,1,debit,2017-03-21 00:32:53.423,116.0,general
4065,4066,14,979,116,1,credit_card,2017-03-26 10:23:28.851,116.0,general
4103,4104,14,899,116,1,credit_card,2017-03-25 18:07:17.963,116.0,general
3677,3678,14,956,116,1,debit,2017-03-22 12:17:57.734,116.0,general
1215,1216,14,765,116,1,debit,2017-03-24 04:56:25.892,116.0,general
4457,4458,14,848,116,1,credit_card,2017-03-30 07:00:44.169,116.0,general
1054,1055,14,850,116,1,cash,2017-03-15 00:54:01.075,116.0,general
3785,3786,14,792,116,1,debit,2017-03-14 13:46:18.384,116.0,general
3112,3113,48,891,117,1,debit,2017-03-23 15:02:02.330,117.0,general
530,531,56,804,117,1,cash,2017-03-02 21:50:13.502,117.0,general
962,963,48,759,117,1,debit,2017-03-27 06:48:22.461,117.0,general
4399,4400,56,962,117,1,credit_card,2017-03-08 21:01:38.472,117.0,general
2447,2448,56,735,117,1,debit,2017-03-03 10:36:09.685,117.0,general
199,200,56,961,117,1,cash,2017-03-08 22:18:18.616,117.0,general
2345,2346,48,722,117,1,debit,2017-03-28 07:27:05.806,117.0,general
3278,3279,56,863,117,1,debit,2017-03-21 07:54:16.548,117.0,general
4134,4135,48,741,117,1,cash,2017-03-12 19:42:04.884,117.0,general
550,551,48,790,117,1,debit,2017-03-25 04:00:39.432,117.0,general
1601,1602,56,944,117,1,credit_card,2017-03-06 01:49:40.792,117.0,general
1648,1649,56,789,117,1,cash,2017-03-20 11:23:27.949,117.0,general
3323,3324,56,721,117,1,credit_card,2017-03-24 14:08:05.347,117.0,general
4910,4911,48,911,117,1,debit,2017-03-15 23:42:08.776,117.0,general
3096,3097,56,955,117,1,credit_card,2017-03-03 08:52:22.229,117.0,general
2066,2067,48,978,117,1,cash,2017-03-19 10:52:16.550,117.0,general
1548,1549,56,873,117,1,cash,2017-03-16 12:36:17.552,117.0,general
1492,1493,48,894,117,1,credit_card,2017-03-02 03:24:32.708,117.0,general
2555,2556,56,822,117,1,credit_card,2017-03-08 22:05:46.193,117.0,general
3562,3563,48,923,117,1,debit,2017-03-18 19:59:30.587,117.0,general
4046,4047,56,788,117,1,credit_card,2017-03-10 22:30:04.056,117.0,general
3144,3145,56,814,117,1,cash,2017-03-15 10:48:44.054,117.0,general
2265,2266,56,737,117,1,cash,2017-03-26 05:54:00.107,117.0,general
4865,4866,56,791,117,1,cash,2017-03-09 22:58:02.444,117.0,general
1137,1138,48,966,117,1,credit_card,2017-03-04 07:41:15.245,117.0,general
3943,3944,56,843,117,1,debit,2017-03-12 04:22:40.899,117.0,general
2781,2782,48,868,117,1,cash,2017-03-13 14:32:22.053,117.0,general
2887,2888,48,999,117,1,credit_card,2017-03-23 09:11:08.150,117.0,general
4258,4259,48,906,117,1,cash,2017-03-15 12:14:22.435,117.0,general
1617,1618,9,868,118,1,debit,2017-03-21 10:55:35.891,118.0,general
1423,1424,41,793,118,1,cash,2017-03-08 02:13:37.201,118.0,general
488,489,9,790,118,1,debit,2017-03-01 23:27:40.938,118.0,general
3654,3655,9,753,118,1,debit,2017-03-28 13:59:03.649,118.0,general
3567,3568,9,706,118,1,cash,2017-03-06 06:39:00.820,118.0,general
4544,4545,9,914,118,1,credit_card,2017-03-05 11:19:19.867,118.0,general
2718,2719,9,926,118,1,cash,2017-03-26 21:12:20.203,118.0,general
1164,1165,41,854,118,1,credit_card,2017-03-15 21:34:30.330,118.0,general
1106,1107,41,799,118,1,credit_card,2017-03-21 22:41:15.135,118.0,general
4833,4834,9,881,118,1,debit,2017-03-11 11:00:54.975,118.0,general
3066,3067,41,873,118,1,cash,2017-03-02 08:53:53.307,118.0,general
1860,1861,9,715,118,1,credit_card,2017-03-29 09:22:32.862,118.0,general
2546,2547,9,797,118,1,credit_card,2017-03-17 20:12:27.471,118.0,general
2744,2745,41,842,118,1,cash,2017-03-14 18:36:28.085,118.0,general
1761,1762,41,737,118,1,cash,2017-03-02 13:36:39.918,118.0,general
1105,1106,9,902,118,1,debit,2017-03-26 15:14:56.924,118.0,general
4486,4487,41,901,118,1,credit_card,2017-03-03 19:43:45.526,118.0,general
1096,1097,41,934,118,1,cash,2017-03-20 15:09:26.246,118.0,general
3477,3478,41,798,118,1,credit_card,2017-03-10 11:03:45.723,118.0,general
623,624,41,897,118,1,cash,2017-03-05 23:39:55.292,118.0,general
2220,2221,41,992,118,1,credit_card,2017-03-16 13:20:57.976,118.0,general
442,443,9,953,118,1,credit_card,2017-03-30 02:14:44.511,118.0,general
1413,1414,9,967,118,1,cash,2017-03-06 20:46:44.515,118.0,general
2777,2778,9,943,118,1,cash,2017-03-21 02:18:53.019,118.0,general
1769,1770,9,930,118,1,cash,2017-03-27 17:45:39.517,118.0,general
2795,2796,41,845,118,1,cash,2017-03-01 01:29:15.944,118.0,general
84,85,41,707,118,1,debit,2017-03-30 12:05:29.573,118.0,general
3270,3271,9,901,118,1,cash,2017-03-27 15:32:32.916,118.0,general
4463,4464,41,889,118,1,cash,2017-03-19 14:56:53.851,118.0,general
4854,4855,41,775,118,1,credit_card,2017-03-11 11:07:19.596,118.0,general
4321,4322,9,703,118,1,cash,2017-03-29 10:25:05.869,118.0,general
187,188,41,980,118,1,cash,2017-03-02 03:13:13.848,118.0,general
4494,4495,9,790,118,1,debit,2017-03-28 04:24:24.670,118.0,general
2918,2919,41,811,118,1,cash,2017-03-15 07:13:27.977,118.0,general
155,156,9,986,118,1,cash,2017-03-13 11:07:35.472,118.0,general
3007,3008,9,863,118,1,credit_card,2017-03-14 18:21:32.039,118.0,general
1960,1961,41,854,118,1,credit_card,2017-03-28 09:43:39.077,118.0,general
4663,4664,9,725,118,1,cash,2017-03-13 01:28:48.517,118.0,general
4894,4895,9,758,118,1,cash,2017-03-13 10:58:32.943,118.0,general
1675,1676,41,924,118,1,debit,2017-03-05 18:19:18.699,118.0,general
1402,1403,9,790,118,1,debit,2017-03-01 21:55:00.953,118.0,general
1189,1190,41,750,118,1,credit_card,2017-03-27 10:39:02.032,118.0,general
1645,1646,41,710,118,1,cash,2017-03-28 05:56:48.569,118.0,general
4875,4876,34,791,122,1,debit,2017-03-20 20:23:10.684,122.0,general
71,72,34,813,122,1,credit_card,2017-03-20 17:43:28.282,122.0,general
137,138,34,760,122,1,debit,2017-03-30 17:31:02.257,122.0,general
2223,2224,34,776,122,1,cash,2017-03-14 06:37:22.186,122.0,general
306,307,34,924,122,1,debit,2017-03-02 17:32:03.531,122.0,general
1477,1478,34,870,122,1,credit_card,2017-03-30 08:21:56.194,122.0,general
273,274,34,803,122,1,cash,2017-03-03 09:05:17.444,122.0,general
556,557,34,947,122,1,cash,2017-03-30 13:52:25.012,122.0,general
946,947,34,810,122,1,cash,2017-03-13 23:14:37.858,122.0,general
3561,3562,34,864,122,1,cash,2017-03-26 06:23:34.362,122.0,general
4072,4073,34,913,122,1,credit_card,2017-03-02 21:02:03.645,122.0,general
1883,1884,34,956,122,1,credit_card,2017-03-27 13:59:10.675,122.0,general
4312,4313,34,735,122,1,debit,2017-03-24 04:55:15.531,122.0,general
4076,4077,34,829,122,1,credit_card,2017-03-21 16:00:33.356,122.0,general
4361,4362,34,700,122,1,debit,2017-03-26 19:05:26.090,122.0,general
3527,3528,34,846,122,1,cash,2017-03-26 05:02:18.150,122.0,general
2737,2738,34,786,122,1,debit,2017-03-10 11:45:12.609,122.0,general
1684,1685,34,906,122,1,debit,2017-03-29 14:16:13.346,122.0,general
4378,4379,34,797,122,1,credit_card,2017-03-12 02:59:50.785,122.0,general
1544,1545,34,794,122,1,credit_card,2017-03-24 11:41:02.457,122.0,general
3694,3695,34,853,122,1,cash,2017-03-04 05:23:47.585,122.0,general
1733,1734,20,782,127,1,cash,2017-03-19 10:30:42.963,127.0,general
843,844,20,886,127,1,debit,2017-03-28 00:20:01.966,127.0,general
2573,2574,20,834,127,1,credit_card,2017-03-18 03:13:15.637,127.0,general
1658,1659,20,762,127,1,credit_card,2017-03-02 06:06:14.404,127.0,general
2125,2126,20,900,127,1,debit,2017-03-09 06:01:00.254,127.0,general
4725,4726,20,826,127,1,debit,2017-03-23 11:22:15.287,127.0,general
3419,3420,20,796,127,1,credit_card,2017-03-17 07:08:29.900,127.0,general
4249,4250,20,926,127,1,cash,2017-03-18 08:38:46.148,127.0,general
634,635,20,800,127,1,debit,2017-03-27 14:04:08.717,127.0,general
3047,3048,20,864,127,1,cash,2017-03-26 12:11:04.279,127.0,general
76,77,20,975,127,1,cash,2017-03-19 13:05:28.706,127.0,general
1240,1241,20,953,127,1,cash,2017-03-24 10:12:15.830,127.0,general
181,182,20,823,127,1,cash,2017-03-03 16:29:13.270,127.0,general
2144,2145,20,859,127,1,cash,2017-03-29 23:36:46.626,127.0,general
1447,1448,20,728,127,1,credit_card,2017-03-29 12:17:23.901,127.0,general
1858,1859,20,754,127,1,credit_card,2017-03-24 16:57:41.577,127.0,general
2395,2396,20,745,127,1,credit_card,2017-03-28 22:36:09.682,127.0,general
2232,2233,20,841,127,1,credit_card,2017-03-06 03:39:25.651,127.0,general
762,763,20,988,127,1,cash,2017-03-13 22:53:16.075,127.0,general
4324,4325,20,959,127,1,credit_card,2017-03-30 05:47:48.811,127.0,general
3908,3909,20,800,127,1,debit,2017-03-06 05:28:20.404,127.0,general
2374,2375,20,817,127,1,cash,2017-03-28 21:08:29.127,127.0,general
844,845,4,994,128,1,credit_card,2017-03-27 12:26:59.508,128.0,general
1464,1465,4,766,128,1,debit,2017-03-22 23:36:52.580,128.0,general
3022,3023,4,940,128,1,debit,2017-03-19 10:04:06.865,128.0,general
2981,2982,4,967,128,1,cash,2017-03-02 06:01:11.143,128.0,general
4355,4356,75,934,128,1,cash,2017-03-06 14:56:11.113,128.0,general
323,324,75,893,128,1,credit_card,2017-03-05 00:04:44.471,128.0,general
2189,2190,75,870,128,1,credit_card,2017-03-11 02:16:33.907,128.0,general
751,752,4,966,128,1,cash,2017-03-08 22:47:21.375,128.0,general
2728,2729,4,867,128,1,credit_card,2017-03-08 00:49:37.740,128.0,general
2227,2228,4,844,128,1,debit,2017-03-06 08:44:57.440,128.0,general
2683,2684,75,726,128,1,cash,2017-03-19 10:44:53.035,128.0,general
3535,3536,75,990,128,1,debit,2017-03-14 02:59:27.222,128.0,general
4653,4654,4,813,128,1,cash,2017-03-03 00:44:45.498,128.0,general
4431,4432,4,974,128,1,cash,2017-03-18 06:21:03.625,128.0,general
448,449,75,848,128,1,credit_card,2017-03-06 03:24:00.481,128.0,general
1932,1933,75,910,128,1,cash,2017-03-02 21:37:59.042,128.0,general
279,280,4,869,128,1,credit_card,2017-03-05 08:27:05.255,128.0,general
327,328,75,832,128,1,credit_card,2017-03-16 12:54:01.036,128.0,general
2413,2414,75,979,128,1,debit,2017-03-23 01:35:38.333,128.0,general
2240,2241,4,707,128,1,cash,2017-03-23 16:34:05.241,128.0,general
1863,1864,4,908,128,1,cash,2017-03-29 10:29:30.900,128.0,general
4441,4442,75,948,128,1,credit_card,2017-03-01 03:00:11.668,128.0,general
437,438,4,770,128,1,debit,2017-03-08 13:11:33.268,128.0,general
2354,2355,75,801,128,1,cash,2017-03-09 14:49:42.691,128.0,general
4979,4980,75,820,128,1,debit,2017-03-25 12:28:18.347,128.0,general
4167,4168,75,829,128,1,cash,2017-03-24 23:26:25.402,128.0,general
1807,1808,75,908,128,1,cash,2017-03-28 16:12:15.482,128.0,general
1564,1565,4,836,128,1,credit_card,2017-03-08 08:15:23.709,128.0,general
3269,3270,75,752,128,1,credit_card,2017-03-16 20:54:53.426,128.0,general
3169,3170,4,851,128,1,debit,2017-03-21 01:48:12.414,128.0,general
4012,4013,83,841,129,1,credit_card,2017-03-06 08:21:55.757,129.0,general
3463,3464,49,775,129,1,credit_card,2017-03-20 05:11:39.410,129.0,general
736,737,31,727,129,1,debit,2017-03-12 22:24:46.358,129.0,general
3832,3833,31,920,129,1,debit,2017-03-13 13:45:20.590,129.0,general
4624,4625,83,742,129,1,credit_card,2017-03-15 23:16:09.166,129.0,general
1521,1522,83,847,129,1,debit,2017-03-23 09:15:28.570,129.0,general
3479,3480,31,826,129,1,debit,2017-03-09 18:21:29.131,129.0,general
936,937,83,992,129,1,cash,2017-03-07 21:10:21.765,129.0,general
2598,2599,49,933,129,1,credit_card,2017-03-15 12:57:14.558,129.0,general
2090,2091,49,949,129,1,credit_card,2017-03-21 10:00:49.131,129.0,general
574,575,83,776,129,1,debit,2017-03-22 19:19:52.017,129.0,general
4595,4596,83,925,129,1,credit_card,2017-03-07 18:44:28.109,129.0,general
612,613,49,879,129,1,cash,2017-03-07 03:37:36.307,129.0,general
1354,1355,83,755,129,1,debit,2017-03-29 00:02:15.280,129.0,general
2943,2944,31,829,129,1,cash,2017-03-25 08:52:22.221,129.0,general
4917,4918,31,992,129,1,cash,2017-03-19 11:57:45.278,129.0,general
2330,2331,83,808,129,1,credit_card,2017-03-11 06:21:38.912,129.0,general
2756,2757,31,983,129,1,credit_card,2017-03-06 10:12:44.024,129.0,general
4131,4132,49,883,129,1,cash,2017-03-29 02:05:46.174,129.0,general
650,651,49,857,129,1,debit,2017-03-10 04:04:46.309,129.0,general
4444,4445,49,859,129,1,cash,2017-03-05 09:49:03.424,129.0,general
3573,3574,83,795,129,1,cash,2017-03-15 20:19:38.002,129.0,general
2709,2710,83,912,129,1,debit,2017-03-19 22:17:05.151,129.0,general
2251,2252,31,979,129,1,credit_card,2017-03-20 03:58:28.021,129.0,general
2476,2477,49,881,129,1,credit_card,2017-03-07 02:59:17.526,129.0,general
3063,3064,49,895,129,1,credit_card,2017-03-16 14:46:26.885,129.0,general
1885,1886,83,773,129,1,debit,2017-03-10 17:17:18.972,129.0,general
2510,2511,49,964,129,1,debit,2017-03-13 06:16:55.390,129.0,general
4061,4062,49,789,129,1,cash,2017-03-06 20:49:14.996,129.0,general
4971,4972,49,854,129,1,debit,2017-03-28 19:46:52.621,129.0,general
4747,4748,83,978,129,1,credit_card,2017-03-06 02:40:02.621,129.0,general
1794,1795,31,846,129,1,debit,2017-03-04 12:35:44.365,129.0,general
110,111,83,893,129,1,cash,2017-03-27 07:07:45.535,129.0,general
1372,1373,83,884,129,1,debit,2017-03-02 09:40:59.853,129.0,general
1107,1108,49,933,129,1,debit,2017-03-28 01:35:23.878,129.0,general
4765,4766,83,835,129,1,cash,2017-03-04 02:26:41.909,129.0,general
4891,4892,49,945,129,1,credit_card,2017-03-16 12:18:53.918,129.0,general
4030,4031,31,985,129,1,debit,2017-03-23 08:18:02.949,129.0,general
276,277,49,777,129,1,cash,2017-03-30 21:49:12.650,129.0,general
2166,2167,83,792,129,1,credit_card,2017-03-17 14:06:37.651,129.0,general
4485,4486,83,959,129,1,credit_card,2017-03-15 05:05:27.397,129.0,general
637,638,31,856,129,1,debit,2017-03-06 22:29:50.835,129.0,general
1101,1102,83,812,129,1,debit,2017-03-06 03:50:27.127,129.0,general
4163,4164,49,921,129,1,cash,2017-03-28 23:26:50.813,129.0,general
1380,1381,49,967,129,1,cash,2017-03-06 20:21:14.642,129.0,general
3223,3224,31,921,129,1,cash,2017-03-14 13:14:33.868,129.0,general
